,Room_ID,Title,Event,Club,Duration,Users,Max_Room_Size,Moderators,Speakers,Listeners,Bounce,Stickiness,Total_User_Time,Avg_User_Time,Avg_User_Time_New_Members,Avg_User_Time_Old_Members,Avg_Speaker_Time,Avg_Listener_Time,New_Users,New_Users_Pct,Old_Users,Old_Users_Pct,Followers
14,PbQGz3D5,3.14159265359…,2021-03-15 01:47:42,The Green Buttwhole,8.566666666666666,553.0,,43.0,54.0,499.0,,,5894.0,11.81,4.74,13.35,,,95.0,0.17,457.0,0.83,
15,PbvkkygR,Knicks @ Nets,2021-03-15 20:00:00,Women Watching Sports Live,1.7999999999999998,63.0,,3.0,14.0,49.0,,,817.0,16.67,0.0,18.16,,,5.0,0.08,58.0,0.92,
16,P0gq5NgN,Alliance of Neighbors Uplifting in Solidarity,2021-03-16 01:01:00,The Green Buttwhole,1.05,74.0,,14.0,13.0,61.0,,,654.0,10.72,0.21,13.85,,,14.0,0.19,60.0,0.81,
17,M8Bl5B71,Come in...decompress,2021-03-18 12:52:13,The Green Buttwhole,10.2,614.0,,61.0,90.0,524.0,,,9693.0,18.5,3.1,24.56,,,155.0,0.25,459.0,0.75,
18,M1K6wpXp,Sophisti-Ratchet album is OUT NOW! Come & Listen!,2021-03-19 01:14:32,Austin Dean Ashford,2.8666666666666667,1483.0,,14.0,95.0,1388.0,,,13302.0,9.58,2.98,10.9,,,232.0,0.16,1251.0,0.84,
19,xnoo1LQa,Clubhouse is at capacity DON’T SEND NO MORE INVITES ,2021-03-19 02:53:15,Clurbhouse,0.2833333333333333,70.0,,11.0,16.0,54.0,,,280.0,5.19,1.45,6.14,,,11.0,0.16,59.0,0.84,
20,mawO8BN5,DEBUT ALBUM RELEASE PARTY,2021-03-19 20:00:00,Austin Dean Ashford,1.5333333333333332,545.0,,18.0,46.0,499.0,,,5173.0,10.37,2.26,11.73,,,72.0,0.13,473.0,0.87,
21,M1wVewRP,A Sophisti-Ratchet night in the Green Buttwhole,2021-03-20 01:13:27,The Green Buttwhole,15.0,2403.0,,90.0,109.0,2294.0,,,20440.0,8.91,4.59,11.79,,,925.0,0.38,1478.0,0.62,
22,MKvoNv7e,Let’s Play “Black Card Revoked”,2021-03-20 23:34:09,The Function,2.3666666666666667,500.0,,4.0,41.0,459.0,,,6188.0,13.48,4.26,14.44,,,44.0,0.09,456.0,0.91,
23,PA6p3NN7,Love Bomb Room 100 - After Hours @ The Green Buttwhole,2021-03-21 02:12:32,The Green Buttwhole,9.9,5514.0,,55.0,63.0,5451.0,,,61141.0,11.22,7.89,12.16,,,1219.0,0.22,4296.0,0.78,
24,PY79eB9G,Clubhouse Radio: Austin Dean Ashford,2021-03-21 17:17:42,The Green Buttwhole,1.35,111.0,,2.0,12.0,99.0,,,725.0,7.32,0.06,8.83,,,17.0,0.15,94.0,0.85,
25,MwV8QAjv,Shira hits 1k today,2021-03-22 12:54:56,The Green Buttwhole,0.7833333333333334,51.0,,18.0,17.0,34.0,,,665.0,19.56,0.33,23.68,,,6.0,0.12,45.0,0.88,
26,PDp3bBg4,Shira hits 1000 today!!!!,2021-03-22 01:50:57,The Green Buttwhole,9.95,3733.0,,72.0,87.0,3646.0,,,51825.0,14.21,9.8,15.71,,,935.0,0.25,2799.0,0.75,
27,xp90kbl5,BREAKING CODY Wrap Party at The Green Buttwhole,2021-03-23 12:56:15,The Green Buttwhole,11.366666666666667,555.0,,45.0,52.0,503.0,,,5832.0,11.59,1.25,19.27,,,233.0,0.42,322.0,0.58,
28,mga4OWZb,Womxn in Sports Series #3,2021-03-23 13:00:15,Women Watching Sports Live,1.0,615.0,,5.0,26.0,589.0,,,5510.0,9.35,6.68,9.69,,,68.0,0.11,547.0,0.89,
29,my60J2OP,We not having another birthday party for Dr. Dre!!,2021-03-25 01:01:09,The Green Buttwhole,8.583333333333334,3693.0,904.0,67.0,70.0,3623.0,0.202,0.798,48797.0,16.557067137809188,6.12,11.96,93.50000000000001,13.15,778.0,0.21,2915.0,0.79,
30,MEgEW0ly,Happy Birthday Gregory & Franxosi!!! ,2021-03-26 01:03:14,The Green Buttwhole,10.616666666666667,2020.0,24.0,48.0,51.0,1969.0,,,27097.0,13.76,3.6,15.97,,,330.0,0.16,1691.0,0.84,
31,xoX4Y5J8,Anti-jam session — bring instruments you can’t play,2021-03-27 12:45:02,The Green Buttwhole,8.066666666666666,479.0,20.0,61.0,70.0,409.0,,,7620.0,18.63,9.91,30.56,,,81.0,0.17,398.0,0.83,
32,Pr4kEY6L,ASK ME ANYTHING,2021-03-27 21:02:41,The Green Buttwhole,0.16666666666666666,157.0,,13.0,20.0,137.0,,,254.0,1.86,1.51,2.07,,,55.0,0.35,102.0,0.65,
33,M1WVQpqq,Let’s Play “Black Card Revoked” ,2021-03-27 23:16:44,The Function,3.083333333333334,487.0,,5.0,71.0,416.0,,,7828.0,18.82,7.51,19.99,,,40.0,0.08,447.0,0.92,
34,xBJ7BBrZ,Cody’s Film Release www.breakingcody.live,2021-03-28 02:10:40,The Green Buttwhole,11.0,453.0,,32.0,31.0,422.0,,,6202.0,14.7,2.6,24.23,,,189.0,0.42,264.0,0.58,
35,xBZnzjvw,Formula 1: Bahrain GP Race,2021-03-28 10:48:09,Women Watching Sports Live,2.8333333333333335,293.0,,15.0,39.0,254.0,,,5386.0,21.12,1.77,22.16,,,13.0,0.04,281.0,0.96,
36,PQ5RVEbP,Not a Townhall recap!,2021-03-29 03:27:00,The Green Buttwhole,15.033333333333333,4281.0,51.0,56.0,81.0,4200.0,0.771,0.22899999999999998,44944.0,60.265261044176704,4.42,12.93,93.58333333333333,51.68333333333333,1110.0,0.26,3171.0,0.74,
37,xLBXQaqK,Would you rather...? Buttwhole room wars!,2021-03-30 12:25:33,The Green Buttwhole,10.2,355.0,,34.0,87.0,268.0,,,10737.0,40.06,55.79,38.52,,,30.0,0.08,325.0,0.92,
38,MEz9Ye7k,Womxn in Sports Series #4,2021-03-30 13:00:33,Women Watching Sports Live,0.9833333333333334,175.0,,6.0,12.0,163.0,,,1819.0,11.16,7.92,11.44,,,13.0,0.07,162.0,0.93,
39,xLAWplVW,"The Unofficial, Unauthorized COTTON CLUB Afterparty",2021-04-01 12:36:19,The Green Buttwhole,0.55,104.0,,22.0,24.0,80.0,,,578.0,7.23,3.8,7.45,,,6.0,0.06,98.0,0.94,
40,M4zvrvqa,"We CEASED & DESISTED, Quite Respectfully. ",2021-04-01 01:32:06,The Green Buttwhole,8.233333333333333,179.0,,31.0,34.0,145.0,,,4140.0,28.55,1.54,33.91,,,24.0,0.13,155.0,0.87,
41,M65Qajpo,"There was a WHOLE, it’s color was GREEN!",2021-04-02 12:57:40,The Green Buttwhole,2.6,114.0,,23.0,28.0,86.0,,,2030.0,23.6,3.0,24.88,,,6.0,0.05,109.0,0.96,
42,PblKzakM,I have this thing for opening rooms just to abandon them ,2021-04-03 12:43:05,The Green Buttwhole,4.166666666666667,390.0,,37.0,46.0,344.0,,,3606.0,10.84,2.6,14.39,,,117.0,0.3,271.0,0.69,
43,PDYX07WW,Final Four - Gonzaga v UCLA,2021-04-03 20:34:52,Women Watching Sports Live,2.8,2532.0,,3.0,26.0,2506.0,,,11201.0,4.47,2.99,4.7,,,342.0,0.14,2190.0,0.86,
44,xV8bwaoO,Let’s Play “Black Card Revoked”,2021-04-03 23:25:39,The Function,3.033333333333333,372.0,,4.0,39.0,333.0,,,5126.0,15.39,0.91,16.99,,,33.0,0.09,339.0,0.91,
45,mgaobYOV,"Unofficial, Unapproved Black Card Revoked After Party",2021-04-04 02:16:14,The Green Buttwhole,12.400000000000002,3395.0,,53.0,74.0,3321.0,,,39106.0,11.78,5.03,13.32,,,622.0,0.18,2773.0,0.82,
46,xneOOR2R,Women’s NCAA Championship — Stanford v Arizona,2021-04-04 18:18:53,Women Watching Sports Live,2.6,3349.0,468.0,5.0,25.0,3324.0,,,22179.0,6.67,3.63,7.34,,,599.0,0.18,2750.0,0.82,
47,M5DO5kJv,MISSED CONNECTIONS Looking for: Hexagon & Anonymous,2021-04-05 01:28:21,The Green Buttwhole,6.583333333333332,111.0,,21.0,22.0,89.0,,,2804.0,31.51,10.29,36.51,,,18.0,0.16,93.0,0.84,
48,maAJOe9L,NCAA Men’s Championship — Baylor vs Gonzaga ,2021-04-05 21:55:25,Women Watching Sports Live,4.35,2511.0,,6.0,56.0,2455.0,,,16081.0,6.55,4.39,6.84,,,292.0,0.12,2219.0,0.88,
49,MRlO1yaE,Not the half. Not the quarter… The Green Buttwhole,2021-04-06 12:30:00,The Green Buttwhole,20.133333333333333,4155.0,,36.0,38.0,4117.0,,,65530.0,15.92,8.5,17.39,,,687.0,0.17,3469.0,0.83,
50,PD9D6XY1,Womxn in Sports Networking #5,2021-04-06 13:00:21,Women Watching Sports Live,0.7666666666666668,251.0,,6.0,20.0,231.0,,,2531.0,10.83,4.8,11.42,,,20.0,0.08,232.0,0.92,
51,PvB7ajAG,Public Buttwhole,2021-04-07 12:30:00,The Green Buttwhole,1.8833333333333333,49.0,,8.0,8.0,41.0,,,408.0,9.95,0.2,15.58,,,15.0,0.31,34.0,0.69,
52,PAdKZ3jQ,Come in! We want to initiate you  One of us! One of us!,2021-04-08 01:51:33,The Green Buttwhole,11.166666666666666,381.0,,50.0,79.0,302.0,,,7341.0,24.31,4.28,27.28,,,47.0,0.12,334.0,0.88,
53,xBXv2ZBw,It was either this or some click bait…,2021-04-09 01:31:05,The Green Buttwhole,5.533333333333333,147.0,,23.0,28.0,119.0,,,2954.0,24.82,0.5,27.55,,,12.0,0.08,135.0,0.92,
54,xp9yDrKv,It’s been a productive week! Party time!!,2021-04-10 01:22:50,The Green Buttwhole,7.816666666666666,162.0,,25.0,34.0,128.0,,,3129.0,24.45,2.78,27.99,,,19.0,0.12,143.0,0.88,
55,myoEAN54,Let’s Play “Black Card Revoked” ,2021-04-10 23:05:05,The Function,3.7,3694.0,,4.0,67.0,3627.0,,,29600.0,8.16,5.17,8.65,,,508.0,0.14,3186.0,0.86,
56,xBX428N6,Roasting Marshmallows : A Clurbhouse Comedy ,2021-04-11 20:03:39,Clurbhouse,2.9333333333333336,5295.0,1140.0,12.0,80.0,5215.0,,,58353.0,11.19,6.48,12.03,,,794.0,0.15,4501.0,0.85,
57,PN0zzBJR,OFFICIAL Roasting Marshmallows  After AFTER Party ,2021-04-12 02:12:50,The Green Buttwhole,7.433333333333334,170.0,,20.0,18.0,152.0,,,2418.0,15.91,1.93,19.06,,,28.0,0.16,142.0,0.84,
58,MRGwrVL6,"After so many evenings, you run out of titles",2021-04-13 01:56:39,The Green Buttwhole,8.933333333333334,2663.0,96.0,52.0,60.0,2603.0,,,26475.0,10.17,8.34,10.45,,,345.0,0.13,2317.0,0.87,
59,M5RXD7z4,Women's Soccer - United States vs France,2021-04-13 15:18:12,Women Watching Sports Live,2.05,81.0,,3.0,20.0,61.0,,,1183.0,19.39,0.75,20.7,,,4.0,0.05,76.0,0.94,
60,MKooa6LJ,Congratulations Patrick! Throw some mo’!!,2021-04-14 02:35:11,The Green Buttwhole,10.65,121.0,,26.0,30.0,91.0,,,3034.0,33.34,11.33,35.76,,,11.0,0.09,110.0,0.91,
61,MKzYNpkJ,Happy birthday! (if it’s your birthday) ,2021-04-15 01:34:20,The Green Buttwhole,7.65,160.0,,22.0,34.0,126.0,,,3028.0,24.03,1.41,32.39,,,39.0,0.24,120.0,0.75,
62,xV8k5RND,Bomani X w/ Grammy Winner Omar Akram in the studio,2021-04-16 19:15:20,The Bomani Effect,1.1,1336.0,646.0,13.0,17.0,1319.0,0.669,0.33099999999999996,12233.283333333335,9.156649201596807,,,26.483333333333334,8.933333333333334,,,,,
63,PD4gzOJr,We got Green Buttwhole Emojis!!,2021-04-17 01:15:45,The Green Buttwhole,8.466666666666667,58.0,,13.0,15.0,43.0,,,1905.0,44.3,3.8,49.63,,,5.0,0.09,53.0,0.91,
64,xewL25DG,FACTS  Tell Us Something You Think We Don’t Know,2021-04-17 20:40:59,The Green Buttwhole,12.916666666666666,11204.0,471.0,107.0,160.0,11044.0,0.51,0.49,103911.0,33.097902494331066,4.57,10.12,65.30000000000001,30.96666666666666,1430.0,0.13,9774.0,0.87,
65,xpQrR685,Let’s play “Black Card Revoked”,2021-04-17 23:08:42,The Function,2.1166666666666667,394.0,,5.0,52.0,342.0,,,4637.0,13.56,3.23,15.58,,,57.0,0.14,337.0,0.86,
66,M5GaQp2p,Anti-Jam Session — Bring Instruments You Can’t Play,2021-04-18 19:45:54,The Green Buttwhole,1.5166666666666666,140.0,,27.0,33.0,107.0,,,1614.0,15.09,7.71,15.61,,,8.0,0.06,132.0,0.94,
67,Mwa6glpB,24 Hours of Reefah Madness!,2021-04-19 23:59:29,The Green Buttwhole,25.950000000000003,213.0,,26.0,37.0,176.0,,,8392.0,47.68,58.8,46.65,,,19.0,0.09,194.0,0.91,
68,mW6z2GGD,Real G’s move in silence,2021-04-21 02:17:26,The Green Buttwhole,9.416666666666666,404.0,18.0,33.0,66.0,338.0,0.468,0.532,13872.0,71.76645021645021,5.09,43.67,95.13333333333333,55.15,26.0,0.06,378.0,0.94,
69,M62WJ83X,Let’s be cranky and do physical therapy together!,2021-04-21 20:10:39,Cranky Physical Therapy,0.6833333333333333,45.0,,2.0,12.0,33.0,0.286,0.714,306.0,18.21190476190476,0.0,9.87,18.949999999999996,16.366666666666667,2.0,0.04,43.0,0.96,
70,MwZ6A1Wx,Let’s Talk About It,2021-04-21 20:37:59,Adult Day Care,2.4,71.0,10.0,5.0,21.0,50.0,0.19,0.81,1077.1,51.290476190476184,28.5,16.28,51.666666666666664,49.033333333333324,7.0,0.1,64.0,0.9,
71,MOpZq4n0,Lyrids Meteor Shower - Green Buttwhole Sky Watching,2021-04-22 12:37:38,The Green Buttwhole,3.6833333333333336,142.0,17.0,28.0,41.0,101.0,0.352,0.648,3048.1333333333323,56.44691358024689,17.5,18.35,64.86666666666665,42.13333333333333,16.0,0.11,126.0,0.89,
72,PA6nK5Q8,Let’s be cranky and do physical therapy together!,2021-04-22 19:40:00,Cranky Physical Therapy,3.1000000000000005,124.0,,2.0,17.0,107.0,0.467,0.5329999999999999,1567.0,29.264999999999997,5.58,17.56,42.666666666666664,19.016666666666666,27.0,0.22,97.0,0.78,
73,P9nE2jrv,Thursday Night Vibes - Slow Jams & Random Topics,2021-04-22 22:43:11,The Green Buttwhole,13.033333333333331,326.0,23.0,50.0,66.0,260.0,0.46,0.54,15250.766666666666,86.65208333333334,5.97,28.4,136.85,56.53333333333333,32.0,0.1,294.0,0.9,
74,PG3rv5wP,You need Patrick on your team!! - bit.ly/hirepatrick,2021-04-23 19:00:00,The Green Buttwhole,3.4833333333333334,38.0,16.0,,17.0,21.0,0.421,0.579,1985.2166666666667,52.242543859649125,,,68.68333333333334,38.93333333333333,2.0,0.05,36.0,0.95,
75,xj2rWQ0x,Date Night Games with Michele & Friends - Let’s Connect,2021-04-23 20:07:00,Other,8.916666666666666,94.0,15.0,,37.0,57.0,0.447,0.5529999999999999,6393.533333333334,68.01631205673759,,,102.88333333333334,45.38333333333334,5.0,0.05,89.0,0.95,
76,MdZ31BK7,Simulation or not we out here,2021-04-23 23:07:42,The Green Buttwhole,2.8333333333333335,168.0,20.0,26.0,35.0,133.0,0.387,0.613,3963.7666666666664,42.62114695340502,12.92,17.25,65.0,29.116666666666667,27.0,0.16,141.0,0.84,
77,PD823qO6,Let’s be cranky and do physical therapy together!,2021-04-24 14:07:29,Cranky Physical Therapy,1.8333333333333335,89.0,21.0,2.0,20.0,69.0,0.25,0.75,989.0,48.18333333333334,0.62,17.52,49.983333333333334,40.983333333333334,15.0,0.17,74.0,0.83,
78,xq5Qw1NZ,CH Coffee Shop LIVE SERIES x SOPHISTI-RATCHET WORLD TOUR,2021-04-24 15:10:00,Austin Dean Ashford,3.033333333333333,195.0,57.0,,68.0,127.0,0.405,0.595,7585.066666666667,38.897777777777776,,,53.150000000000006,31.266666666666666,10.0,0.05,185.0,0.95,
79,P0gBWNRY,Spring Cleaning!!  How’s your Saturday,2021-04-24 16:03:05,The Green Buttwhole,3.1833333333333336,62.0,13.0,16.0,18.0,44.0,0.382,0.618,1642.1333333333334,48.29803921568628,0.67,21.68,60.53333333333334,34.53333333333333,4.0,0.06,58.0,0.94,
80,xjv7dD77,FRONTLINERS- “SUNDOWN CELEBRATION”,2021-04-24 19:10:00,Austin Dean Ashford,4.4,281.0,71.0,,92.0,189.0,0.456,0.544,17140.75,60.9991103202847,,,92.59999999999998,45.61666666666667,4.0,0.01,277.0,0.99,
81,xoBqK9ZK,Let’s Play “Black Card Revoked”,2021-04-24 23:07:57,The Function,3.583333333333333,438.0,37.0,5.0,79.0,359.0,0.476,0.524,8171.733333333334,35.6844250363901,2.23,16.25,59.3,24.183333333333334,24.0,0.05,414.0,0.95,
82,PQzQX0N7,Official Black Card Revoked After Party,2021-04-25 02:46:44,The Green Buttwhole,8.733333333333333,140.0,23.0,26.0,28.0,112.0,0.488,0.512,4304.066666666667,51.23888888888889,13.6,23.71,85.48333333333333,34.11666666666667,11.0,0.08,129.0,0.92,
83,xLAzdBOb,Was The Green Buttwhole Chosen For Creator First? Hint: No,2021-04-26 01:50:00,The Green Buttwhole,3.7666666666666666,163.0,13.0,25.0,31.0,132.0,0.343,0.657,2145.6666666666665,61.304761904761904,1.54,15.82,66.39999999999999,48.56666666666667,29.0,0.18,134.0,0.82,
84,xp9zvl9O,Rap Monologues Afterparty,2021-04-26 23:48:55,Community First,1.2666666666666666,3464.0,788.0,46.0,61.0,3404.0,0.382,0.618,19664.016666666663,7.511083524318817,3.33,5.64,29.633333333333333,6.9833333333333325,257.0,0.07,3207.0,0.93,
85,m2KoQv36,Horses are Pretty,2021-04-27 01:06:18,The Green Buttwhole,2.183333333333333,166.0,18.0,21.0,35.0,131.0,0.395,0.605,1214.9833333333333,28.255426356589147,0.35,10.37,30.633333333333333,23.816666666666663,26.0,0.16,140.0,0.84,
86,M15DQbvM,It’s a pink moon  and I have pink hair  let’s gooooo,2021-04-27 02:36:18,The Green Buttwhole,6.300000000000001,662.0,20.0,27.0,36.0,626.0,0.672,0.32799999999999996,5336.966666666667,39.82810945273632,0.71,11.37,104.88333333333334,24.166666666666668,340.0,0.51,322.0,0.49,
87,MR212dJ8,Dolphins are the humans of the sea,2021-04-27 23:55:18,The Green Buttwhole,3.116666666666667,309.0,33.0,34.0,46.0,263.0,0.413,0.587,4376.466666666666,42.08141025641025,2.83,14.5,63.79999999999999,30.583333333333332,18.0,0.06,291.0,0.94,
88,mZJwXvEA,I miss the Green Buttwhole,2021-04-28 04:13:26,The Green Buttwhole,4.833333333333333,272.0,14.0,34.0,49.0,223.0,0.509,0.491,2830.9166666666665,51.47121212121212,1.24,13.92,55.516666666666666,40.68333333333333,44.0,0.16,228.0,0.84,
89,P0znYdXM,Atlanta After Party - Celebrating Black Creators,2021-04-28 22:27:48,Community First,12.45,862.0,69.0,55.0,73.0,789.0,0.484,0.516,12284.599999999999,56.094063926940635,1.46,11.11,103.13333333333334,37.93333333333332,47.0,0.05,815.0,0.95,
90,xp4WjBXq,Clubhouse Hospital (but we’re quacks)  HELP WANTED ,2021-04-29 06:33:32,Clurbhouse,0.5333333333333333,45.0,,2.0,11.0,34.0,0.565,0.43500000000000005,362.9166666666667,15.778985507246377,2.0,10.81,21.483333333333334,10.55,10.0,0.22,35.0,0.78,
91,M6G7dzKE,Raising money to rebuild the hospital,2021-04-29 07:26:00,The Collection Plate,2.6333333333333333,58.0,10.0,9.0,12.0,46.0,0.2,0.8,1123.9166666666667,74.92777777777778,2.0,23.66,82.21666666666667,60.35,8.0,0.14,47.0,0.81,
92,mJzN7Ypd,NFL Draft - Champions Round App - Big Board Showdown,2021-04-29 15:57:51,Women Watching Sports Live,4.183333333333334,221.0,28.0,8.0,49.0,172.0,0.395,0.605,6936.4333333333325,80.65620155038759,5.88,28.57,97.51666666666667,61.266666666666666,8.0,0.04,213.0,0.96,
93,xkOnVyKy,Sex or Shelter (or Chicken Alfredo),2021-04-30 02:09:54,The Green Buttwhole,7.533333333333333,252.0,15.0,26.0,39.0,213.0,0.375,0.625,4216.400000000001,87.84166666666668,6.22,17.24,98.21666666666668,70.55,49.0,0.19,203.0,0.81,
94,PDyG6Xpo,NFL Draft 2021: Second Round,2021-04-30 19:06:00,Women Watching Sports Live,5.183333333333334,204.0,15.0,5.0,30.0,174.0,0.396,0.604,4439.5,83.76415094339623,1.54,19.5,97.5,67.16666666666667,13.0,0.06,191.0,0.94,
95,mJnYweEV,"Simulation or not, we out here!",2021-04-30 23:03:27,The Green Buttwhole,8.65,268.0,28.0,33.0,43.0,225.0,0.48,0.52,5339.799999999999,71.19733333333332,3.66,19.24,96.26666666666665,51.5,33.0,0.12,235.0,0.88,
96,xXQjejag,Rich is a state of mind!,2021-05-01 14:42:22,The Rich People Club,2.2333333333333334,108.0,29.0,11.0,24.0,84.0,0.394,0.606,980.5833333333333,29.714646464646464,1.0,10.41,33.916666666666664,23.250000000000004,5.0,0.05,103.0,0.95,
97,xV0v2eNz,Let’s Play “Black Card Revoked”,2021-05-01 23:03:27,The Function,1.7999999999999998,191.0,13.0,3.0,35.0,156.0,0.38,0.62,2689.166666666666,53.783333333333324,2.06,16.86,64.23333333333332,40.483333333333334,22.0,0.12,169.0,0.88,
98,xlN8k6KX,Let’s Talk Business; Will Cloud Get Her 100th Follower 2day,2021-05-02 18:42:45,Adult Day Care,2.2666666666666666,1844.0,378.0,8.0,28.0,1816.0,0.658,0.34199999999999997,12784.0,12.98593322386426,2.4,7.39,52.63333333333333,11.500000000000002,129.0,0.07,1716.0,0.93,
99,mZJylbL0,"Happy Birthday, Kaneema!",2021-05-02 23:48:14,The Green Buttwhole,0.8999999999999999,169.0,23.0,40.0,48.0,121.0,0.519,0.481,1075.0,18.031410256410258,1.1,9.59,19.05,15.26666666666667,11.0,0.07,158.0,0.93,
100,P09ka3kL,Clurbhouse McDawnalds - Come Troll The Drive Thru ,2021-05-03 14:25:15,Clurbhouse,0.65,48.0,23.0,7.0,13.0,35.0,0.267,0.733,353.0,21.405555555555555,0.67,10.97,23.583333333333332,17.05,4.0,0.08,44.0,0.92,
101,P01B4ZpE,Celebrating Creators - Rap Monologues After Party,2021-05-03 23:51:55,Community First,11.566666666666666,4000.0,284.0,55.0,69.0,3931.0,0.653,0.347,46126.066666666666,21.55423676012461,3.58,8.98,125.28333333333333,18.15,372.0,0.09,3628.0,0.91,
102,xevDVL27,Dating Advice Through a Kink Lens [5.3],2021-05-03 00:40:00,The Kink Whole,1.4833333333333334,84.0,11.0,2.0,23.0,61.0,0.44,0.56,680.0,24.7,0.67,12.29,29.28333333333333,18.866666666666667,9.0,0.11,75.0,0.89,
103,P9KveO8G,The LoveBomb Room - “Come In… Let Us Compliment You” Ep145,2021-05-04 20:53:00,Blacktop UniverseCity,2.183333333333333,105.0,28.0,,46.0,59.0,0.343,0.657,3533.8,33.6552380952381,,,45.483333333333334,24.433333333333334,6.0,0.06,99.0,0.94,
104,mWrAbkR8,Let’s be cranky and do physical therapy together!,2021-05-04 20:55:26,Cranky Physical Therapy,3.2,74.0,,3.0,20.0,54.0,0.442,0.558,1310.5,30.476744186046513,3.17,18.5,41.56666666666667,20.833333333333332,6.0,0.08,68.0,0.92,
105,PvE2zakJ,The Streets is Calling - But are You Calling Your Ex,2021-05-05 12:11:12,The Green Buttwhole,7.383333333333334,219.0,27.0,34.0,41.0,178.0,0.537,0.46299999999999997,5198.116666666667,42.26111111111111,1.64,16.76,72.55,27.116666666666667,22.0,0.1,197.0,0.9,2.0
106,xV64naVD,Let’s Talk PCOS (Weekly): Q&A Session,2021-05-05 10:20:00,Doctors,2.8666666666666667,470.0,67.0,6.0,16.0,454.0,0.403,0.597,8930.0,37.9783950617284,8.43,20.46,85.00000000000001,34.21666666666667,31.0,0.07,439.0,0.93,
107,xlyKq8vJ,"Congratulations, creators!",2021-05-05 15:14:11,Creator Last,1.4,74.0,10.0,16.0,19.0,55.0,0.462,0.538,759.0333333333334,19.462393162393166,0.0,9.5,25.300000000000004,13.916666666666666,1.0,0.01,73.0,0.99,3.0
